Time,Temperature
2024-11-26 00:00:00,11.46 °C
2024-11-26 00:15:00,11.45 °C
2024-11-26 00:30:00,11.36 °C
2024-11-26 00:45:00,11.36 °C
2024-11-26 01:01:00,11.32 °C
2024-11-26 01:16:00,11.22 °C
2024-11-26 01:31:00,11.21 °C
2024-11-26 01:46:00,11.25 °C
2024-11-26 02:01:00,11.19 °C
2024-11-26 02:16:00,11.06 °C
2024-11-26 02:32:00,10.93 °C
2024-11-26 02:47:00,10.81 °C
2024-11-26 03:02:00,10.58 °C
2024-11-26 03:17:00,10.38 °C
2024-11-26 03:32:00,10.28 °C
2024-11-26 03:47:00,9.94 °C
2024-11-26 04:02:00,9.89 °C
2024-11-26 04:18:00,9.89 °C
2024-11-26 04:33:00,9.86 °C
2024-11-26 04:48:00,9.86 °C
2024-11-26 05:03:00,9.44 °C
2024-11-26 05:18:00,9.38 °C
2024-11-26 05:33:00,9.38 °C
2024-11-26 05:49:00,9.34 °C
2024-11-26 06:04:00,9.5 °C
2024-11-26 06:19:00,9.3 °C
2024-11-26 06:34:00,9.05 °C
2024-11-26 06:49:00,9.01 °C
2024-11-26 07:04:00,9.09 °C
2024-11-26 07:20:00,9.04 °C
2024-11-26 07:35:00,9.25 °C
2024-11-26 07:50:00,8.86 °C
2024-11-26 08:05:00,8.91 °C
2024-11-26 08:20:00,9.36 °C
2024-11-26 08:35:00,9.55 °C
2024-11-26 08:51:00,9.84 °C
2024-11-26 09:06:00,10.34 °C
2024-11-26 09:21:00,10.64 °C
2024-11-26 09:36:00,10.93 °C
2024-11-26 09:51:00,11.02 °C
2024-11-26 10:06:00,11.13 °C
2024-11-26 10:22:00,11.17 °C
2024-11-26 10:37:00,11.43 °C
2024-11-26 10:52:00,11.78 °C
2024-11-26 11:07:00,12.11 °C
2024-11-26 11:22:00,12.3 °C
2024-11-26 11:37:00,11.67 °C
2024-11-26 11:53:00,11.95 °C
2024-11-26 12:08:00,11.78 °C
2024-11-26 12:23:00,11.91 °C
2024-11-26 12:38:00,11.88 °C
2024-11-26 12:53:00,11.85 °C
2024-11-26 13:08:00,11.96 °C
2024-11-26 13:23:00,11.83 °C
2024-11-26 13:39:00,11.58 °C
2024-11-26 13:54:00,11.24 °C
2024-11-26 14:09:00,11.44 °C
2024-11-26 14:24:00,11.34 °C
2024-11-26 14:39:00,11.15 °C
2024-11-26 14:54:00,11.12 °C
2024-11-26 15:10:00,10.93 °C
2024-11-26 15:25:00,10.95 °C
2024-11-26 15:40:00,10.62 °C
2024-11-26 15:55:00,10.65 °C
2024-11-26 16:10:00,10.11 °C
2024-11-26 16:25:00,10 °C
2024-11-26 16:41:00,9.94 °C
2024-11-26 16:56:00,9.32 °C
2024-11-26 17:11:00,9.38 °C
2024-11-26 17:26:00,8.71 °C
2024-11-26 17:41:00,8.68 °C
2024-11-26 17:56:00,8.67 °C
2024-11-26 18:12:00,8.76 °C
2024-11-26 18:27:00,8.62 °C
2024-11-26 18:42:00,8.41 °C
2024-11-26 18:57:00,8.26 °C
2024-11-26 19:12:00,8.02 °C
2024-11-26 19:27:00,8.19 °C
2024-11-26 19:43:00,8.33 °C
2024-11-26 19:58:00,8.24 °C
2024-11-26 20:13:00,8.17 °C
2024-11-26 20:28:00,8 °C
2024-11-26 20:43:00,7.86 °C
2024-11-26 20:58:00,7.82 °C
2024-11-26 21:14:00,8.08 °C
2024-11-26 21:29:00,7.9 °C
2024-11-26 21:44:00,7.75 °C
2024-11-26 21:59:00,7.75 °C
2024-11-26 22:14:00,7.74 °C
2024-11-26 22:29:00,7.69 °C
2024-11-26 22:45:00,7.2 °C
2024-11-26 23:00:00,7.28 °C
2024-11-26 23:15:00,7.28 °C
2024-11-26 23:30:00,6.98 °C
2024-11-26 23:45:00,6.9 °C
2024-11-27 00:00:00,6.69 °C
2024-11-27 00:16:00,6.68 °C
2024-11-27 00:31:00,6.29 °C
2024-11-27 00:46:00,6.7 °C
2024-11-27 01:01:00,6.86 °C
2024-11-27 01:16:00,6.8 °C
2024-11-27 01:31:00,6.89 °C
2024-11-27 01:47:00,6.56 °C
2024-11-27 02:02:00,6.74 °C
2024-11-27 02:17:00,6.67 °C
2024-11-27 02:32:00,6.53 °C
2024-11-27 02:47:00,6.14 °C
2024-11-27 03:02:00,6.01 °C
2024-11-27 03:18:00,6.18 °C
2024-11-27 03:33:00,6.12 °C
2024-11-27 03:48:00,6.01 °C
2024-11-27 04:03:00,5.89 °C
2024-11-27 04:18:00,6.08 °C
2024-11-27 04:33:00,5.98 °C
2024-11-27 04:49:00,6.02 °C
2024-11-27 05:04:00,5.79 °C
2024-11-27 05:19:00,5.62 °C
2024-11-27 05:34:00,5.2 °C
2024-11-27 05:49:00,5.51 °C
2024-11-27 06:04:00,5.26 °C
2024-11-27 06:19:00,5.13 °C
2024-11-27 06:35:00,5.28 °C
2024-11-27 06:50:00,5.17 °C
2024-11-27 07:05:00,5.23 °C
2024-11-27 07:20:00,4.94 °C
2024-11-27 07:35:00,5.24 °C
2024-11-27 07:50:00,5.27 °C
2024-11-27 08:06:00,5.24 °C
2024-11-27 08:21:00,5.33 °C
2024-11-27 08:36:00,5.91 °C
2024-11-27 08:51:00,5.96 °C
2024-11-27 09:06:00,6.92 °C
2024-11-27 09:21:00,7.44 °C
2024-11-27 09:37:00,7.72 °C
2024-11-27 09:52:00,8.9 °C
2024-11-27 10:07:00,9.41 °C
2024-11-27 10:22:00,10.42 °C
2024-11-27 10:37:00,10.22 °C
2024-11-27 10:52:00,10.86 °C
2024-11-27 11:08:00,11.08 °C
2024-11-27 11:23:00,11.53 °C
2024-11-27 11:38:00,11.35 °C
2024-11-27 11:53:00,11.2 °C
2024-11-27 12:08:00,12.15 °C
2024-11-27 12:23:00,12.24 °C
2024-11-27 12:39:00,12.56 °C
2024-11-27 12:54:00,12.17 °C
2024-11-27 13:09:00,12.67 °C
2024-11-27 13:24:00,13.18 °C
2024-11-27 13:39:00,13.13 °C
2024-11-27 13:54:00,13.13 °C
2024-11-27 14:10:00,13.2 °C
2024-11-27 14:25:00,12.73 °C
2024-11-27 14:40:00,12.03 °C
2024-11-27 14:55:00,12.16 °C
2024-11-27 15:10:00,12.1 °C
2024-11-27 15:25:00,11.92 °C
2024-11-27 15:40:00,10.24 °C
2024-11-27 15:56:00,11.03 °C
2024-11-27 16:11:00,10.96 °C
2024-11-27 16:26:00,10.93 °C
2024-11-27 16:41:00,11.52 °C
2024-11-27 16:56:00,11.71 °C
2024-11-27 17:11:00,11.68 °C
2024-11-27 17:27:00,11.79 °C
2024-11-27 17:42:00,11.8 °C
2024-11-27 17:57:00,11.8 °C
2024-11-27 18:12:00,11.79 °C
2024-11-27 18:27:00,11.57 °C
2024-11-27 18:43:00,11.65 °C
2024-11-27 18:58:00,11.82 °C
2024-11-27 19:13:00,11.61 °C
2024-11-27 19:28:00,11.6 °C
2024-11-27 19:43:00,11.52 °C
2024-11-27 19:58:00,11.74 °C
2024-11-27 20:14:00,11.83 °C
2024-11-27 20:29:00,11.93 °C
2024-11-27 20:44:00,11.84 °C
2024-11-27 20:59:00,11.83 °C
2024-11-27 21:14:00,11.84 °C
2024-11-27 21:29:00,11.85 °C
2024-11-27 21:45:00,11.83 °C
2024-11-27 22:00:00,11.55 °C
2024-11-27 22:15:00,11.83 °C
2024-11-27 22:30:00,11.87 °C
2024-11-27 22:45:00,11.67 °C
2024-11-27 23:00:00,11.6 °C
2024-11-27 23:16:00,12 °C
2024-11-27 23:31:00,10.76 °C
2024-11-27 23:46:00,10.91 °C
2024-11-28 00:01:00,11.2 °C
2024-11-28 00:16:00,11.19 °C
2024-11-28 00:31:00,11.47 °C
2024-11-28 00:47:00,11.39 °C
2024-11-28 01:02:00,11.43 °C
2024-11-28 01:17:00,11.65 °C
2024-11-28 01:32:00,11.12 °C
2024-11-28 01:47:00,10.78 °C
2024-11-28 02:02:00,10.95 °C
2024-11-28 02:17:00,10.5 °C
2024-11-28 02:33:00,9.55 °C
2024-11-28 02:48:00,9.52 °C
2024-11-28 03:03:00,9.3 °C
2024-11-28 03:18:00,9.18 °C
2024-11-28 03:33:00,8.56 °C
2024-11-28 03:48:00,8.22 °C
2024-11-28 04:04:00,8.46 °C
2024-11-28 04:19:00,8.1 °C
2024-11-28 04:34:00,8.04 °C
2024-11-28 04:49:00,7.84 °C
2024-11-28 05:04:00,7.71 °C
2024-11-28 05:19:00,7.66 °C
2024-11-28 05:35:00,7.59 °C
2024-11-28 05:50:00,7.33 °C
2024-11-28 06:05:00,7.23 °C
2024-11-28 06:20:00,7.08 °C
2024-11-28 06:35:00,6.75 °C
2024-11-28 06:50:00,6.7 °C
2024-11-28 07:06:00,6.79 °C
2024-11-28 07:21:00,6.73 °C
2024-11-28 07:36:00,6.88 °C
2024-11-28 07:51:00,6.7 °C
2024-11-28 08:06:00,6.69 °C
2024-11-28 08:21:00,6.73 °C
2024-11-28 08:37:00,7.11 °C
2024-11-28 08:52:00,7.14 °C
2024-11-28 09:07:00,7.34 °C
2024-11-28 09:22:00,7.55 °C
2024-11-28 09:37:00,7.58 °C
2024-11-28 09:52:00,8.03 °C
2024-11-28 10:07:00,8.03 °C
2024-11-28 10:08:00,8.03 °C
2024-11-28 10:23:00,8.24 °C
2024-11-28 10:38:00,8.27 °C
2024-11-28 10:53:00,8.39 °C
2024-11-28 11:08:00,8.35 °C
2024-11-28 11:23:00,8.24 °C
2024-11-28 11:38:00,9.11 °C
2024-11-28 11:54:00,9.12 °C
2024-11-28 12:09:00,9.33 °C
2024-11-28 12:24:00,8.62 °C
2024-11-28 12:39:00,8.71 °C
2024-11-28 12:54:00,8.77 °C
2024-11-28 13:09:00,9.08 °C
2024-11-28 13:25:00,8.79 °C
2024-11-28 13:40:00,8.77 °C
2024-11-28 13:55:00,8.77 °C
2024-11-28 14:10:00,8.76 °C
2024-11-28 14:25:00,8.76 °C
2024-11-28 14:40:00,8.76 °C
